Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
8.000000	18	21.761223	47.116001	-54.338206	29.272591	-53.926206	1.242615	-25.887326	0.812877	0.812034	0.642724	0.311258	0.128469	0.051864	-0.128105	-0.197578	-0.083666	-0.054904	-0.021547	3.510133	0.721485	0.192403	-0.170818	0.059932	0.023209	-0.001834	-0.001290	0.394373	-0.044144	0.094459	0.439700	0.113124	4486.535591	1134.322697	49993.289454	2276.389768	-49997.181400	1661.849760	49382.136475	-525.092362	-49384.647344	2571.636534	-535.782691	1885.286089	1233.344197	-789.730548	-49115.446240	0.679951
9.000000	18	22.157964	47.126682	-54.399243	29.277932	-53.956725	1.424865	-25.658437	0.984376	0.939973	0.728628	0.375622	0.192997	0.105271	-0.117393	-0.176270	-0.071352	-0.042425	-0.004945	3.737315	0.984197	0.190303	-0.168278	0.072484	0.026461	-0.000168	0.000404	0.391922	-0.043311	0.046153	0.442210	0.112295	4492.563922	1143.477334	49993.289454	2273.375602	-49997.181400	1651.169350	49382.136475	-528.143907	-49384.647344	2568.584988	-537.289774	1877.657224	1231.837115	-797.359412	-49115.446240	0.679951
10.000000	18	22.991119	47.153386	-54.307688	29.277932	-53.926206	1.673388	-25.391400	1.155874	1.089236	0.900435	0.525803	0.257525	0.158678	-0.053121	-0.133654	-0.050828	-0.025787	-0.000794	3.914012	1.246910	0.194503	-0.163196	0.072484	0.028087	0.013996	-0.002984	0.391922	-0.048309	0.043655	0.440537	0.114783	4503.113502	1166.363927	49993.289454	2262.826022	-49997.181400	1642.014712	49382.136475	-531.195453	-49384.647344	2571.636534	-541.811022	1865.451041	1234.851280	-801.936731	-49115.446240	0.679951
11.000000	18	23.526719	47.169408	-54.307688	29.272591	-53.941465	1.872206	-25.170141	1.293073	1.281146	1.050766	0.654530	0.397337	0.233449	0.011151	-0.069730	-0.034409	-0.029946	-0.004945	4.242165	1.562165	0.192403	-0.161503	0.072484	0.029713	0.015662	0.011413	0.397641	-0.048309	0.046153	0.440537	0.097370	4498.592254	1186.198975	49993.289454	2253.783525	-49997.181400	1632.860075	49382.136475	-544.927409	-49384.647344	2564.007669	-547.839354	1863.925269	1233.344197	-808.039822	-49115.446240	0.679951
12.000000	18	24.101993	47.164068	-54.307688	29.272591	-53.926206	2.104161	-24.880215	1.498872	1.451732	1.201097	0.772530	0.494129	0.318901	0.043287	-0.059076	-0.013886	-0.004988	0.007507	4.570317	1.877420	0.190303	-0.158115	0.074158	0.034591	0.015662	0.010566	0.411530	-0.054139	0.043655	0.399548	0.097370	4494.071005	1202.982477	49993.289454	2243.233945	-49997.181400	1622.179665	49382.136475	-547.978955	-49384.647344	2567.059215	-556.881851	1850.193313	1231.837115	-814.142914	-49115.446240	0.679951
13.000000	18	24.657430	47.190771	-54.307688	29.261910	-53.926206	2.319547	-24.651326	1.841869	1.600995	1.287001	0.869075	0.558657	0.425715	0.107559	-0.027114	-0.005676	-0.004988	0.011657	4.671287	2.140132	0.194503	-0.154728	0.078342	0.036217	0.014829	0.010566	0.413164	-0.059136	0.044488	0.399548	0.094882	4497.085171	1224.343297	49993.289454	2243.233945	-49997.181400	1614.550800	49382.136475	-555.607819	-49384.647344	2565.533442	-561.403100	1839.512902	1234.851280	-823.297551	-49115.446240	0.679951
14.000000	18	25.212867	47.185430	-54.307688	29.283273	-53.941465	2.584638	-24.391919	1.944769	1.771581	1.415856	0.965621	0.687714	0.457760	0.150407	-0.005806	0.002533	0.015810	0.011657	4.847984	2.481658	0.196602	-0.152187	0.081689	0.039469	0.023994	0.013954	0.410713	-0.064133	0.046986	0.398711	0.096540	4504.620585	1239.601026	49993.289454	2232.684365	-49997.181400	1605.396163	49382.136475	-566.288229	-49384.647344	2562.481897	-570.445597	1836.461357	1231.837115	-833.977961	-49115.446240	0.679951
15.000000	18	25.768303	47.206793	-54.277169	29.277932	-53.926206	2.766888	-24.155400	2.116267	1.899521	1.630615	1.083620	0.762997	0.553893	0.225391	0.036811	0.039476	0.015810	0.024109	5.201378	2.718100	0.186104	-0.147952	0.082526	0.043534	0.023994	0.012260	0.410713	-0.069130	0.046986	0.398711	0.087419	4504.620585	1256.384527	49993.289454	2226.656033	-49997.181400	1596.241526	49382.136475	-572.391321	-49384.647344	2560.956124	-577.981011	1821.203628	1230.330032	-840.081053	-49115.446240	0.679951
16.000000	18	26.343577	47.222816	-54.292428	29.283273	-53.941465	3.031979	-23.888363	2.356366	2.070107	1.716518	1.233802	0.849035	0.617982	0.268239	0.079427	0.076419	0.024129	0.032410	5.378076	2.980812	0.190303	-0.144565	0.085037	0.045160	0.023161	0.012260	0.412347	-0.074960	0.011174	0.399548	0.088249	4503.113502	1274.693802	49993.289454	2217.613536	-49997.181400	1584.035343	49382.136475	-578.494412	-49384.647344	2559.430351	-582.502260	1816.626309	1225.808783	-846.184144	-49115.446240	0.679951
17.000000	18	26.879177	47.222816	-54.277169	29.272591	-53.910947	3.181093	-23.636586	2.527864	2.219370	1.952753	1.308893	0.945827	0.682071	0.343223	0.100735	0.105152	0.044928	0.044861	5.655743	3.269796	0.192403	-0.140330	0.085874	0.047599	0.022328	0.013954	0.414798	-0.074960	0.012839	0.399548	0.085761	4500.099337	1294.528850	49993.289454	2213.092288	-49997.181400	1576.406478	49382.136475	-586.123277	-49384.647344	2562.481897	-591.544757	1807.471672	1228.822949	-856.864555	-49115.446240	0.679951
