Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
8.000000	3	-0.625629	0.337230	47.249519	-54.231391	28.070925	-53.941465	0.000000	-0.034300	0.000000	0.000000	0.042909	0.000000	-0.010681	0.010712	-0.021308	0.004105	0.008319	0.008301	0.000000	-0.105085	-0.004199	0.002541	0.002510	0.000000	0.000000	0.002541	-0.001634	0.000000	0.003331	-0.000837	-0.001658	1.221534	2.833978	-0.676473	-1.972180	-3.945592	2.941275	-0.235506	1.409525	-3.435111	1.272448	-1.457072	-3.936630	-4.438861	-4.395569	0.125871	0.000000
9.000000	3	-0.633259	0.337230	47.249519	-54.231391	28.086947	-53.926206	-0.033136	-0.034300	0.000000	0.042952	0.032182	0.010755	-0.021363	0.021424	0.010654	0.004105	0.008319	0.008301	0.025242	-0.052542	0.002100	0.000847	0.002510	0.000000	-0.000833	0.002541	-0.003268	-0.000833	0.002499	0.000000	0.000829	-1.792632	1.308205	2.375073	-6.493428	-0.894047	1.415502	2.778660	-0.116248	-4.942193	-0.253325	-1.457072	-0.885084	-2.931778	-1.344024	0.125871	0.000000
10.000000	3	-0.618000	0.297555	47.244179	-54.216132	28.081606	-53.941465	-0.049705	-0.034300	0.000000	0.042952	0.021455	0.032264	-0.032044	-0.010712	0.000000	0.004105	0.004160	0.016602	0.025242	-0.105085	0.002100	0.000847	0.001674	-0.000813	-0.001666	0.001694	-0.000817	0.000833	0.001666	0.000000	0.001658	-0.285549	4.359751	2.375073	-8.000511	-0.894047	-1.636043	2.778660	4.461070	-0.420945	-0.253325	9.092508	-5.462403	0.082388	-1.344024	0.125871	0.000000
11.000000	3	-0.625629	0.357067	47.254860	-54.216132	28.081606	-53.971984	-0.049705	-0.034300	0.021323	0.064428	0.032182	0.032264	-0.032044	0.010712	0.010654	0.000000	0.004160	0.008301	0.050485	-0.131356	0.000000	0.000847	0.000837	-0.000813	-0.001666	0.000847	-0.000817	-0.003331	0.000833	0.000000	0.001658	1.221534	-1.743340	5.426619	-8.000511	-2.419820	-3.161816	-3.249672	1.409525	1.086138	-1.779098	-2.964155	-2.410857	-1.424695	-4.395569	-5.869660	0.000000
12.000000	3	-0.686666	0.376904	47.244179	-54.185614	28.076266	-53.941465	-0.016568	0.000000	0.021323	-0.021476	0.021455	-0.010755	-0.042726	0.000000	-0.042616	-0.004105	0.008319	0.016602	0.000000	-0.078814	0.000000	-0.000847	0.000837	-0.001626	-0.001666	0.002541	-0.000817	-0.001666	0.001666	0.000000	0.000829	1.221534	1.308205	5.426619	-4.986346	-3.945592	1.415502	-0.235506	-3.167794	-3.435111	-3.304871	-1.457072	-3.936630	-1.424695	-2.869797	-1.373012	0.000000
13.000000	3	-0.625629	0.337230	47.254860	-54.185614	28.070925	-53.926206	-0.033136	0.000000	0.000000	0.021476	0.000000	0.010755	-0.032044	0.010712	0.000000	0.000000	0.000000	0.012452	0.000000	-0.105085	-0.002100	0.000847	0.000000	0.000000	-0.000833	0.002541	-0.000817	-0.001666	0.001666	0.000000	0.002488	-6.313880	2.833978	0.849300	-6.493428	-10.048684	2.941275	-1.742589	-1.642021	1.086138	-1.779098	3.064176	-3.936630	0.082388	1.707522	-2.871895	0.000000
14.000000	3	-0.625629	0.357067	47.260201	-54.246651	28.081606	-53.956725	-0.066273	-0.034300	-0.021323	0.064428	0.032182	0.010755	-0.032044	0.032136	0.000000	-0.008209	0.000000	0.012452	-0.025242	-0.105085	0.000000	0.000000	-0.000837	0.000813	0.000000	0.001694	0.000817	-0.003331	-0.000833	-0.001673	0.000000	-4.806797	2.833978	-2.202246	-8.000511	-2.419820	5.992821	2.778660	-3.167794	-4.942193	-4.830644	-2.964155	-5.462403	-7.453026	3.233295	-1.373012	0.000000
15.000000	3	-0.625629	0.376904	47.265542	-54.246651	28.076266	-53.910947	-0.033136	-0.068600	0.021323	0.000000	0.010727	0.021509	-0.021363	0.010712	0.000000	-0.004105	0.008319	0.016602	-0.025242	-0.157627	0.002100	-0.000847	-0.000837	0.001626	-0.000833	0.002541	-0.001634	-0.004997	-0.000833	-0.001673	-0.000829	4.235700	-3.269113	2.375073	-11.014677	-6.997138	2.941275	-3.249672	-0.116248	-0.420945	-3.304871	1.557094	-5.462403	-2.931778	-2.869797	-1.373012	0.000000
16.000000	3	-0.625629	0.317392	47.254860	-54.231391	28.076266	-53.941465	-0.033136	-0.068600	0.000000	0.021476	0.021455	0.021509	0.000000	-0.010712	0.010654	0.008209	0.000000	0.012452	-0.025242	-0.052542	0.002100	0.001694	-0.000837	0.000813	-0.001666	-0.001694	-0.000817	-0.005830	0.001666	0.000837	0.000000	2.728617	1.308205	2.375073	-4.986346	-3.945592	-0.110271	7.299908	4.461070	-6.449276	-1.779098	-1.457072	-3.936630	-2.931778	-2.869797	-2.871895	0.000000
17.000000	3	-0.656148	0.357067	47.260201	-54.246651	28.070925	-53.941465	-0.049705	-0.034300	0.042647	0.000000	0.032182	0.010755	-0.010681	-0.032136	0.000000	-0.004105	-0.012479	0.012452	0.025242	-0.078814	0.000000	-0.001694	-0.002510	-0.001626	-0.003333	0.000000	0.000000	-0.002499	0.000000	0.000000	0.000000	4.235700	-1.743340	5.426619	-4.986346	-0.894047	-0.110271	-1.742589	4.461070	-3.435111	-3.304871	1.557094	-5.462403	0.082388	-5.921342	-4.370778	0.000000
